Date,Dernier ((EUR/MWh),Ouv., Plus Haut,Plus Bas
23/10/2017,"18,09","18,09","18,09","18,09"
24/10/2017,"17,96","17,96","17,96","17,96"
25/10/2017,"18,11","18,11","18,11","18,11"
26/10/2017,"18,07","18,07","18,07","18,07"
27/10/2017,"18,15","18,15","18,15","18,15"
30/10/2017,"18,11","18,11","18,11","18,11"
31/10/2017,"18,285","18,285","18,285","18,285"
01/11/2017,"18,55","18,55","18,55","18,55"
02/11/2017,"18,58","18,58","18,58","18,58"
03/11/2017,"18,31","18,31","18,31","18,31"
06/11/2017,"19,01","19,01","19,01","19,01"
07/11/2017,"19,325","19,325","19,325","19,325"
08/11/2017,"19,38","19,38","19,38","19,38"
09/11/2017,"19,515","19,515","19,515","19,515"
10/11/2017,"19,82","19,82","19,82","19,82"
13/11/2017,"19,905","19,905","19,905","19,905"
14/11/2017,"19,335","19,335","19,335","19,335"
15/11/2017,"19,015","19,015","19,015","19,015"
16/11/2017,"19,2","19,2","19,2","19,2"
17/11/2017,"18,95","18,95","18,95","18,95"
20/11/2017,"19,5","19,5","19,5","19,5"
21/11/2017,"19,84","19,84","19,84","19,84"
22/11/2017,"19,7","19,7","19,7","19,7"
24/11/2017,"20,455","20,455","20,455","20,455"
27/11/2017,"20,68","20,68","20,68","20,68"
28/11/2017,"20,28","20,28","20,28","20,28"
29/11/2017,"20,35","20,35","20,35","20,35"
30/11/2017,"20,305","20,305","20,305","20,305"
01/12/2017,"20,79","20,79","20,79","20,79"
04/12/2017,"21,375","21,375","21,375","21,375"
05/12/2017,"21,405","21,405","21,405","21,405"
06/12/2017,"21,165","21,165","21,165","21,165"
07/12/2017,"21,265","21,265","21,265","21,265"
08/12/2017,"20,89","20,89","20,89","20,89"
11/12/2017,"21,135","21,135","21,135","21,135"
12/12/2017,"21,73","21,73","21,73","21,73"
13/12/2017,"20,675","20,675","20,675","20,675"
14/12/2017,"21,025","21,025","21,025","21,025"
15/12/2017,"21,01","21,01","21,01","21,01"
18/12/2017,"20,46","20,46","20,46","20,46"
19/12/2017,"19,95","19,95","19,95","19,95"
20/12/2017,"20,295","20,295","20,295","20,295"
21/12/2017,20,20,20,20
22/12/2017,"19,665","19,665","19,665","19,665"
